NCTC8846	R. ornithinolytica
NCTC8849	K. pneumoniae
NCTC8883	K. pneumoniae
NCTC8895	K. pneumoniae
NCTC8900	S. marcescens
NCTC8959	E. coli
NCTC8960	E. coli
NCTC8984	E. coli
NCTC9002	E. coli
NCTC9003	E. coli
NCTC9004	E. coli
NCTC9005	E. coli
NCTC9006	E. coli
NCTC9007	E. coli
NCTC9008	E. coli
NCTC9009	E. coli
NCTC9010	E. coli
NCTC9011	E. coli
NCTC9012	E. coli
NCTC9013	E. coli
NCTC9014	E. coli
NCTC9015	E. coli
NCTC9016	E. coli
NCTC9018	E. coli
NCTC9019	E. coli
NCTC9020	E. coli
NCTC9021	E. coli
NCTC9022	E. coli
NCTC9023	E. coli
NCTC9024	E. coli
NCTC9026	E. coli
NCTC9028	E. coli
NCTC9029	E. coli
NCTC9030	E. coli
NCTC9031	E. coli
NCTC9032	E. coli
NCTC9033	E. coli
NCTC9034	E. coli
NCTC9035	E. coli
NCTC9036	E. coli
NCTC9037	E. coli
NCTC9038	E. coli
NCTC9040	E. coli
NCTC9041	E. coli
NCTC9043	E. coli
NCTC9044	E. coli
NCTC9045	E. coli
NCTC9047	E. coli
NCTC9048	E. coli
NCTC9049	E. coli
NCTC9050	E. coli
NCTC9052	E. coli
NCTC9053	E. coli
NCTC9054	E. coli
NCTC9055	E. coli
NCTC9056	E. coli
NCTC9058	E. coli
NCTC9060	E. coli
NCTC9062	E. coli
NCTC9064	E. coli
NCTC9065	E. coli
NCTC9066	E. coli
NCTC9067	C. braakii
NCTC9068	E. coli
NCTC9069	E. coli
NCTC9070	E. coli
NCTC9071	E. coli
NCTC9076	E. coli
NCTC9078	E. coli
NCTC9079	E. coli
NCTC9080	E. coli
NCTC9081	E. coli
NCTC9082	E. coli
NCTC9083	E. coli
NCTC9084	E. coli
NCTC9085	E. coli
NCTC9086	E. coli
NCTC9087	E. coli
NCTC9088	E. coli
NCTC9089	E. coli
NCTC9091	E. coli
NCTC9092	E. coli
NCTC9094	C. gillenii
NCTC9095	E. coli
NCTC9096	E. coli
NCTC9097	E. coli
NCTC9098	E. coli
NCTC9099	E. coli
NCTC9100	E. coli
NCTC9101	E. coli
NCTC9102	E. coli
NCTC9103	E. coli
NCTC9104	E. coli
NCTC9105	E. coli
NCTC9107	E. coli
NCTC9108	E. coli
NCTC9109	E. coli
NCTC9110	E. coli
NCTC9111	E. coli
NCTC9112	E. coli
NCTC9113	E. coli
NCTC9114	E. coli
NCTC9116	E. coli
NCTC9117	E. coli
NCTC9119	E. coli
NCTC9120	E. coli
NCTC9121	E. coli
NCTC9123	E. coli
NCTC9124	S. sp.
NCTC9127	K. pneumoniae
NCTC9129	K. sp.
NCTC9130	K. pneumoniae
NCTC9132	K. pneumoniae
NCTC9133	K. pneumoniae
NCTC9134	K. pneumoniae
NCTC9135	K. pneumoniae
NCTC9136	K. pneumoniae
NCTC9137	K. pneumoniae
NCTC9138	K. pneumoniae
NCTC9139	K. pneumoniae
NCTC9142	K. pneumoniae
NCTC9143	K. pneumoniae
NCTC9144	K. pneumoniae
NCTC9145	K. pneumoniae
NCTC9150	K. pneumoniae
NCTC9151	K. pneumoniae
NCTC9152	R. ornithinolytica
NCTC9153	K. pneumoniae
NCTC9154	K. pneumoniae
NCTC9155	R. ornithinolytica
NCTC9156	K. pneumoniae
NCTC9157	K. pneumoniae
NCTC9158	K. pneumoniae
NCTC9159	K. pneumoniae
NCTC9161	K. pneumoniae
NCTC9162	K. pneumoniae
NCTC9163	K. pneumoniae
NCTC9164	K. sp.
NCTC9166	K. pneumoniae
NCTC9167	K. pneumoniae
NCTC9169	K. pneumoniae
NCTC9170	K. pneumoniae
NCTC9171	K. pneumoniae
NCTC9174	K. pneumoniae
NCTC9175	K. pneumoniae
NCTC9176	K. pneumoniae
NCTC9178	K. pneumoniae
NCTC9179	R. planticola
NCTC9180	K. pneumoniae
NCTC9181	K. pneumoniae
NCTC9182	K. pneumoniae
NCTC9184	K. pneumoniae
NCTC9186	K. oxytoca
NCTC9189	K. sp.
NCTC9238	C. sakazakii
NCTC9239	B. vancanneytii
NCTC9309	S. aureus
NCTC9322	S. enterica
NCTC9336	P. nigrescens
NCTC9343	B. fragilis
NCTC9353	S. boydii
NCTC9362	S. boydii
NCTC9369	S. aureus
NCTC9370	C. violaceum
NCTC9380	M. haemolytica
NCTC9388	N. meningitidis
NCTC9390	N. meningitidis
NCTC9393	S. aureus
NCTC9394	E. cloacae
NCTC9413	S. dysgalactiae
NCTC9414	S. dysgalactiae
NCTC9419	S. rubidaea
NCTC9426	M. bovis
NCTC9428	P. fluorescens
NCTC9433	P. aeruginosa
NCTC9434	E. coli
NCTC9494	K. pneumoniae
NCTC9495	K. pneumoniae
NCTC9498	K. pneumoniae
NCTC9499	K. pneumoniae
NCTC9504	K. pneumoniae
NCTC9527	R. planticola
NCTC9528	R. planticola
NCTC9529	C. universalis
NCTC9546	S. aureus
NCTC9547	S. aureus
NCTC9551	S. aureus
NCTC9552	S. aureus
NCTC9553	S. aureus
NCTC9555	S. aureus
NCTC9556	S. aureus
NCTC9603	S. dysgalactiae
NCTC9606	S. enterica
NCTC9611	S. aureus
NCTC9612	S. aureus
NCTC9613	S. aureus
NCTC9614	S. aureus
NCTC9616	K. pneumoniae
NCTC9632	K. pneumoniae
NCTC9633	K. pneumoniae
NCTC9635	K. pneumoniae
NCTC9636	K. pneumoniae
NCTC9637	K. pneumoniae
NCTC9644	K. pneumoniae
NCTC9645	K. pneumoniae
NCTC9652	K. pneumoniae
NCTC9656	K. pneumoniae
NCTC9657	K. pneumoniae
NCTC9660	K. pneumoniae
NCTC9661	K. pneumoniae
NCTC9662	K. pneumoniae
NCTC9667	K. pneumoniae
NCTC9668	K. pneumoniae
NCTC9682	S. equi
NCTC9684	S. enterica
NCTC9691	C. novyi
NCTC9693	C. haemolyticum
NCTC9695	C. violaceum
NCTC9697	A. haemolyticum
NCTC9699	E. coli
NCTC9701	E. coli
NCTC9702	E. coli
NCTC9703	E. coli
NCTC9705	E. coli
NCTC9706	E. coli
NCTC9707	E. coli
NCTC9708	E. coli
NCTC9709	A. actinomycetemcomitans
NCTC9712	M. haemolytica
NCTC9714	N. meningitidis
NCTC9718	S. dysenteriae
NCTC9728	S. flexneri
NCTC9733	S. boydii
NCTC9734	S. boydii
NCTC9735	E. aerogenes
NCTC9737	K. ascorbata
NCTC9742	B. iodinum
NCTC9750	C. freundii
NCTC9752	S. aureus
NCTC9755	C. striatum
NCTC9757	C. violaceum
NCTC9770	S. boydii
NCTC9775	E. coli
NCTC9776	E. coli
NCTC9777	E. coli
NCTC9778	E. coli
NCTC9783	S. flexneri
NCTC9787	S. enterica
NCTC9793	K. pneumoniae
NCTC9796	J. lividum
NCTC9810	A. octavius
NCTC9828	S. agalactiae
NCTC9836	C. putrefaciens
NCTC9837	C. botulinum
NCTC9850	S. boydii
NCTC9851	C. perfringens
NCTC9853	S. enterica
NCTC9854	S. enterica
NCTC9855	E. coli
NCTC9868	S. enterica
NCTC9872	S. enterica
NCTC9877	S. enterica
NCTC9884	S. enterica
NCTC9912	S. enterica
NCTC9930	S. enterica
NCTC9932	B. licheniformis
NCTC9935	A. odontolyticus
NCTC9936	S. enterica
NCTC9938	E. avium
NCTC9941	S. enterica
NCTC9944	S. aureus
NCTC9948	S. sp.
NCTC9961	E. coli
NCTC9963	E. coli
NCTC9964	E. coli
NCTC9965	E. coli
NCTC9966	E. coli
NCTC9967	E. coli
NCTC9969	E. coli
NCTC9993	S. agalactiae
NCTC9997	K. aerogenes
NCTC10002	E. coli
NCTC10004	K. pneumoniae
NCTC10016	E. meningoseptica
NCTC10025	N. meningitidis
NCTC10026	N. meningitidis
NCTC10035	S. aureus
NCTC10036	S. rubidaea
NCTC10038	P. fluorescens
NCTC10042	M. xenopi
NCTC10046	S. enterica
NCTC10056	S. enterica
NCTC10071	B. neotomae
NCTC10075	S. enterica
